"tp","fp","fn","tn","precision","sensitivity","specificity","f1","shd","response_precision","response_recall","response_true_edges","network","n","rep"
17,7,7,89,0.708333333333333,0.708333333333333,0.927083333333333,0.708333333333333,25,0.6,0.6,5,"A_baseline_only",50,3
18,12,13,128,0.6,0.580645161290323,0.914285714285714,0.590163934426229,30,0.571428571428571,0.571428571428571,7,"B_with_time",50,3
16,4,8,92,0.8,0.666666666666667,0.958333333333333,0.727272727272727,25,1,0.6,5,"A_baseline_only",60,3
21,12,10,128,0.636363636363636,0.67741935483871,0.914285714285714,0.65625,33,0.666666666666667,0.571428571428571,7,"B_with_time",60,3
16,7,8,89,0.695652173913043,0.666666666666667,0.927083333333333,0.680851063829787,24,0.5,0.6,5,"A_baseline_only",75,3
25,3,6,137,0.892857142857143,0.806451612903226,0.978571428571429,0.847457627118644,15,1,1,7,"B_with_time",75,3
21,4,3,92,0.84,0.875,0.958333333333333,0.857142857142857,16,1,1,5,"A_baseline_only",100,3
27,11,4,129,0.710526315789474,0.870967741935484,0.921428571428571,0.782608695652174,33,0.857142857142857,0.857142857142857,7,"B_with_time",100,3
23,5,1,91,0.821428571428571,0.958333333333333,0.947916666666667,0.884615384615385,17,1,1,5,"A_baseline_only",150,3
27,7,4,133,0.794117647058823,0.870967741935484,0.95,0.830769230769231,26,0.875,1,7,"B_with_time",150,3
23,8,1,88,0.741935483870968,0.958333333333333,0.916666666666667,0.836363636363636,16,0.833333333333333,1,5,"A_baseline_only",200,3
25,9,6,131,0.735294117647059,0.806451612903226,0.935714285714286,0.769230769230769,29,0.857142857142857,0.857142857142857,7,"B_with_time",200,3
22,5,2,91,0.814814814814815,0.916666666666667,0.947916666666667,0.862745098039216,17,0.714285714285714,1,5,"A_baseline_only",300,3
27,11,4,129,0.710526315789474,0.870967741935484,0.921428571428571,0.782608695652174,31,0.75,0.857142857142857,7,"B_with_time",300,3
22,2,2,94,0.916666666666667,0.916666666666667,0.979166666666667,0.916666666666667,16,1,1,5,"A_baseline_only",500,3
