"node1","node2","pair","true_label","frequency","network","n"
"FunctionalImpairment","IS","FunctionalImpairment--IS",0,0.195,"A_baseline_only",20
"FunctionalImpairment","MedicationLoad","FunctionalImpairment--MedicationLoad",0,0.175,"A_baseline_only",20
"FunctionalImpairment","PriorECT","FunctionalImpairment--PriorECT",0,0.195,"A_baseline_only",20
"FunctionalImpairment","PsychomotorSpeed","FunctionalImpairment--PsychomotorSpeed",0,0.19,"A_baseline_only",20
"FunctionalImpairment","RA","FunctionalImpairment--RA",0,0.135,"A_baseline_only",20
"FunctionalImpairment","Response","FunctionalImpairment--Response",0,0.22,"A_baseline_only",20
"FunctionalImpairment","SleepQuality","FunctionalImpairment--SleepQuality",0,0.195,"A_baseline_only",20
"FunctionalImpairment","SuicidalIdeation","FunctionalImpairment--SuicidalIdeation",0,0.16,"A_baseline_only",20
"FunctionalImpairment","TxResistance","FunctionalImpairment--TxResistance",0,0.19,"A_baseline_only",20
"HigherCognition","IS","HigherCognition--IS",0,0.17,"A_baseline_only",20
"HigherCognition","MedicationLoad","HigherCognition--MedicationLoad",0,0.16,"A_baseline_only",20
"HigherCognition","PriorECT","HigherCognition--PriorECT",0,0.145,"A_baseline_only",20
"HigherCognition","PsychomotorSpeed","HigherCognition--PsychomotorSpeed",1,0.775,"A_baseline_only",20
"HigherCognition","RA","HigherCognition--RA",0,0.21,"A_baseline_only",20
"HigherCognition","Response","HigherCognition--Response",0,0.18,"A_baseline_only",20
"HigherCognition","SleepQuality","HigherCognition--SleepQuality",0,0.16,"A_baseline_only",20
"HigherCognition","SuicidalIdeation","HigherCognition--SuicidalIdeation",0,0.145,"A_baseline_only",20
"HigherCognition","TxResistance","HigherCognition--TxResistance",0,0.165,"A_baseline_only",20
"IS","MedicationLoad","IS--MedicationLoad",0,0.135,"A_baseline_only",20
"IS","PriorECT","IS--PriorECT",0,0.17,"A_baseline_only",20
"IS","PsychomotorSpeed","IS--PsychomotorSpeed",0,0.175,"A_baseline_only",20
"IS","RA","IS--RA",1,0.67,"A_baseline_only",20
"IS","Response","IS--Response",1,0.325,"A_baseline_only",20
"IS","SleepQuality","IS--SleepQuality",0,0.225,"A_baseline_only",20
"IS","SuicidalIdeation","IS--SuicidalIdeation",0,0.17,"A_baseline_only",20
"IS","TxResistance","IS--TxResistance",0,0.15,"A_baseline_only",20
"MedicationLoad","PriorECT","MedicationLoad--PriorECT",0,0.17,"A_baseline_only",20
"MedicationLoad","PsychomotorSpeed","MedicationLoad--PsychomotorSpeed",0,0.19,"A_baseline_only",20
"MedicationLoad","RA","MedicationLoad--RA",0,0.14,"A_baseline_only",20
"MedicationLoad","Response","MedicationLoad--Response",0,0.12,"A_baseline_only",20
"MedicationLoad","SleepQuality","MedicationLoad--SleepQuality",0,0.165,"A_baseline_only",20
